Title,Link,Rank,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Category_1,RankCategory_1,ScoreCategory_1,Category_2,RankCategory_2,ScoreCategory_2,Mechanics,AmazonPrice
Brass: Birmingham ,https://boardgamegeek.com/boardgame/224517/brass-birmingham,1,2018,41537,8.60825,8.42232,1.41877,3.8909,1970,108759,20,2,4,3,4,965,60,120,Strategy ,1,8.44341,,,,"Hand Management
Income
Loans
Market
Network and Route Building
Tags
",$79.99 
Pandemic Legacy: Season 1 ,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,2,2015,51764,8.53347,8.38689,1.60199,2.8337,1407,276409,30,2,4,4,4,828,60,60,Thematic,1,8.38942,Strategy ,2,8.37451,"Action Points
Cooperative Game
Hand Management
Legacy Game
Point to Point Movement
Scenario / Mission / Campaign Game
",$70.00 
Gloomhaven ,https://boardgamegeek.com/boardgame/174430/gloomhaven,3,2017,60034,8.6096,8.37512,1.74611,3.8982,2457,493238,30,1,4,3,3,1479,60,120,Thematic,2,8.35258,Strategy ,3,8.33905,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Card Play Conflict Resolution
Communication Limits
Cooperative Game
",$248.99 
Ark Nova ,https://boardgamegeek.com/boardgame/342942/ark-nova,4,2021,36184,8.53236,8.31793,1.37874,3.729,1926,227503,28,1,3,2,2,1461,90,150,Strategy ,4,8.33748,,,,"End Game Bonuses
Hand Management
Hexagon Grid
Income
Increase Value of Unchosen Resources
Open Drafting
",$58.99 
Twilight Imperium: Fourth Edition ,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,5,2017,21954,8.61121,8.2413,1.61942,4.3093,1054,36624,2,3,6,6,6,511,240,480,Thematic,3,8.26583,Strategy ,5,8.26564,"Action Drafting
Area-Impulse
Dice Rolling
Follow
Grid Movement
Hexagon Grid
",$131.99 
Terraforming Mars ,https://boardgamegeek.com/boardgame/167791/terraforming-mars,6,2016,93481,8.36734,8.22265,1.4166,3.2585,3842,573910,40,1,4,3,3,2391,120,120,Strategy ,7,8.2021,,,,"Closed Drafting
Contracts
Enclosure
End Game Bonuses
Hand Management
Hexagon Grid
",$62.09 
Dune: Imperium ,https://boardgamegeek.com/boardgame/316554/dune-imperium,7,2020,38925,8.4227,8.20502,1.2709,3.0332,1355,131257,26,1,4,3,4,1111,60,120,Strategy ,6,8.21066,,,,"Card Play Conflict Resolution
Deck, Bag, and Pool Building
Delayed Purchase
Force Commitment
Increase Value of Unchosen Resources
Multi-Use Cards
",$51.43 
Gloomhaven: Jaws of the Lion ,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-lion,8,2020,31225,8.47561,8.19124,1.47578,3.6329,899,153262,20,1,4,2,2,667,30,120,Thematic,6,8.20264,Strategy ,9,8.17067,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Communication Limits
Cooperative Game
Critical Hits and Failures
",$36.95 
War of the Ring: Second Edition ,https://boardgamegeek.com/boardgame/115746/war-ring-second-edition,9,2011,19966,8.53516,8.17874,1.47898,4.2092,1109,32386,0,2,2,2,2,472,150,180,War ,1,8.27951,Thematic,4,8.24038,"Action Drafting
Area Majority / Influence
Area Movement
Campaign / Battle Card Driven
Card Play Conflict Resolution
Dice Rolling
",$77.51 
Star Wars: Rebellion ,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,10,2016,30919,8.41933,8.16986,1.36614,3.7428,1069,47283,17,2,2,2,2,624,180,240,Thematic,5,8.20459,,,,"Area Majority / Influence
Area Movement
Area-Impulse
Card Play Conflict Resolution
Contracts
Delayed Purchase
",Unknown
