Title,RankOverall,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwardsHonors,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_1,RankCategory_1,ScoreCategory_1,Mechanics,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Brass: Birmingham ,1,2018,40550,8.60963,8.42358,1.42141,3.8941,1908,105725,20,2,4,3,4.0,939,Strategy ,1,8.44357,"Hand Management
Income
Loans
Market
Network and Route Building
Tags
",$79.95,,,,,,
Pandemic Legacy: Season 1 ,2,2015,51353,8.53451,8.38838,1.60335,2.8335,1399,274344,30,2,4,4,4.0,820,Thematic,1,8.39183,"Action Points
Cooperative Game
Hand Management
Legacy Game
Point to Point Movement
Scenario / Mission / Campaign Game
",$70.00,Strategy ,2,8.37549,,,
Gloomhaven ,3,2017,59464,8.6138,8.37978,1.74914,3.8964,2442,488265,30,1,4,3,3.0,1467,Thematic,2,8.3572,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Card Play Conflict Resolution
Communication Limits
Cooperative Game
",$164.99,Strategy ,3,8.34351,,,
Ark Nova ,4,2021,34376,8.52884,8.31172,1.38446,3.7265,1839,202774,26,1,3,2,2.0,1402,Strategy ,4,8.33141,"End Game Bonuses
Hand Management
Hexagon Grid
Income
Increase Value of Unchosen Resources
Open Drafting
",$66.99,,,,,,
Twilight Imperium: Fourth Edition ,5,2017,21614,8.61272,8.2405,1.61667,4.3067,1027,35665,2,3,6,6,6.0,497,Thematic,3,8.26632,"Action Drafting
Area-Impulse
Dice Rolling
Follow
Grid Movement
Hexagon Grid
",$131.99,Strategy ,5,8.26545,,,
Terraforming Mars ,6,2016,92229,8.37147,8.22642,1.41097,3.2584,3788,564685,40,1,4,3,3.0,2361,Strategy ,6,8.20515,"Closed Drafting
Contracts
Enclosure
End Game Bonuses
Hand Management
Hexagon Grid
",$79.99,,,,,,
Dune: Imperium ,7,2020,37457,8.41906,8.19942,1.26961,3.0266,1317,125077,26,1,4,3,4.0,1071,Strategy ,7,8.20456,"Card Play Conflict Resolution
Deck, Bag, and Pool Building
Delayed Purchase
Force Commitment
Increase Value of Unchosen Resources
Multi-Use Cards
",$51.42,,,,,,
Gloomhaven: Jaws of the Lion ,8,2020,30454,8.48562,8.19768,1.47394,3.6328,885,149556,20,1,4,2,2.0,655,Thematic,5,8.21425,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Communication Limits
Cooperative Game
Critical Hits and Failures
",$37.47,Strategy ,9,8.17703,,,
War of the Ring: Second Edition ,9,2011,19650,8.53199,8.17524,1.4836,4.2037,1090,31676,0,2,2,2,2.0,462,War ,1,8.28118,"Action Drafting
Area Majority / Influence
Area Movement
Campaign / Battle Card Driven
Card Play Conflict Resolution
Dice Rolling
",$82.94,Thematic,4,8.23538,,,
Star Wars: Rebellion ,10,2016,30588,8.41736,8.16869,1.369,3.7394,1059,46734,17,2,2,2,2.0,620,Thematic,6,8.20383,"Area Majority / Influence
Area Movement
Area-Impulse
Card Play Conflict Resolution
Contracts
Delayed Purchase
",Unknown,,,,,,
Spirit Island ,11,2017,46116,8.35199,8.15043,1.50278,4.0634,2555,260975,16,1,4,2,2.0,1577,Strategy ,10,8.13311,"Action Retrieval
Area Majority / Influence
Automatic Resource Growth
Campaign / Battle Card Driven
Cooperative Game
Hand Management
",$71.66,,,,,,
Gaia Project ,12,2017,25267,8.40012,8.13465,1.4077,4.3943,1580,96167,14,1,4,3,4.0,662,Strategy ,8,8.17734,"End Game Bonuses
Hexagon Grid
Income
Modular Board
Network and Route Building
Solo / Solitaire Game
",$94.99,,,,,,
Through the Ages: A New Story of Civilization ,13,2015,30145,8.30836,8.08034,1.51897,4.4318,1482,121647,3,2,4,3,3.0,681,Strategy ,11,8.11078,"Action Points
Auction: Dutch
Auction/Bidding
Events
Income
Open Drafting
",$69.95,,,,,,
Twilight Struggle ,14,2005,47236,8.25243,8.07812,1.58169,3.603,3849,122560,13,2,2,2,2.0,867,War ,2,8.19238,"Action/Event
Advantage Token
Area Majority / Influence
Campaign / Battle Card Driven
Dice Rolling
Events
",$53.32,Strategy ,13,8.06217,,,
Great Western Trail ,15,2016,39122,8.22117,8.0572,1.30496,3.7068,1521,135207,31,2,4,3,3.0,842,Strategy ,12,8.07702,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Track Movement
Variable Set-up
",$44.95,,,,,,
Scythe ,16,2016,78448,8.16361,8.01187,1.44409,3.4407,3068,278139,33,1,5,4,4.0,1401,Strategy ,17,7.98198,"Area Majority / Influence
Card Play Conflict Resolution
Contracts
End Game Bonuses
Force Commitment
Grid Movement
",$67.32,,,,,,
The Castles of Burgundy ,17,2011,58902,8.1307,8.00731,1.24204,2.9883,2826,309786,14,2,4,2,2.0,1439,Strategy ,16,8.00622,"Dice Rolling
End Game Bonuses
Grid Coverage
Hexagon Grid
Pattern Building
Tile Placement
",$59.99,,,,,,
7 Wonders Duel ,18,2015,87424,8.09782,7.97423,1.1914,2.2271,2734,447619,24,2,2,2,2.0,1184,Strategy ,21,7.9384,"End Game Bonuses
Income
Layering
Market
Modular Board
Multi-Use Cards
",$27.99,,,,,,
