Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes
Brass: Birmingham ,2018,40373,8.61003,8.42352,1.42227,3.8944,1903,105208,2,4,3,4,937
Pandemic Legacy: Season 1 ,2015,51293,8.53467,8.3882,1.60385,2.8329,1394,274031,2,4,4,4,815
Gloomhaven ,2017,59377,8.61411,8.38015,1.75029,3.8954,2438,487301,1,4,3,3,1464
Ark Nova ,2021,34121,8.52777,8.30958,1.38678,3.7263,1823,199501,1,3,2,2,1393
Twilight Imperium: Fourth Edition ,2017,21552,8.61321,8.24091,1.61631,4.3077,1027,35601,3,6,6,6,497
Terraforming Mars ,2016,92004,8.37329,8.22787,1.40782,3.2587,3781,563256,1,4,3,3,2354
Gloomhaven: Jaws of the Lion ,2020,30336,8.48767,8.19913,1.47342,3.6335,884,148844,1,4,2,2,655
Dune: Imperium ,2020,37207,8.4179,8.19824,1.27023,3.0259,1311,124174,1,4,3,4,1066
War of the Ring: Second Edition ,2011,19609,8.53159,8.1747,1.48326,4.2052,1087,31576,2,2,2,2,460
Star Wars: Rebellion ,2016,30535,8.41742,8.16866,1.36925,3.7394,1059,46640,2,2,2,2,619
Spirit Island ,2017,45959,8.35255,8.15102,1.50163,4.0628,2548,259548,1,4,2,2,1571
Gaia Project ,2017,25209,8.40187,8.13598,1.40771,4.3942,1578,95836,1,4,3,4,660
Through the Ages: A New Story of Civilization ,2015,30110,8.30872,8.08042,1.51973,4.4317,1478,121351,2,4,3,3,680
Twilight Struggle ,2005,47184,8.25231,8.07798,1.58173,3.6031,3847,122445,2,2,2,2,867
Great Western Trail ,2016,39069,8.22193,8.05765,1.30399,3.7064,1519,134934,2,4,3,3,842
Scythe ,2016,78328,8.16399,8.01252,1.44437,3.4409,3064,277658,1,5,4,4,1399
The Castles of Burgundy ,2011,58794,8.13034,8.00668,1.24172,2.9894,2820,308729,2,4,2,2,1437
7 Wonders Duel ,2015,87247,8.0981,7.97454,1.19108,2.2275,2730,445995,2,2,2,2,1179
Nemesis ,2018,27356,8.2898,7.96436,1.51732,3.4436,976,61551,1,5,4,5,643
Brass: Lancashire ,2007,23840,8.18929,7.96379,1.37078,3.8586,1612,71861,2,4,4,4,579
Eclipse: Second Dawn for the Galaxy ,2020,11423,8.49069,7.96362,1.37238,3.6481,395,20670,2,6,4,4,259
Concordia ,2013,38139,8.09984,7.95098,1.19795,2.996,1508,123816,2,5,4,4,642
A Feast for Odin ,2016,26174,8.17674,7.94631,1.36511,3.8619,934,93434,1,4,3,3,539
Clank! Legacy: Acquisitions Incorporated ,2019,8404,8.56051,7.94081,1.42228,2.7339,124,48822,2,4,4,4,112
Wingspan ,2019,82816,8.06884,7.9215,1.3542,2.4548,2757,548956,1,4,3,3,1622
Terra Mystica ,2012,46384,8.07911,7.91607,1.4731,3.9725,2872,153341,2,5,4,4,1005
Arkham Horror: The Card Game ,2016,40629,8.13802,7.90862,1.53851,3.529,1329,276062,1,2,2,2,951
Lost Ruins of Arnak ,2020,37426,8.07892,7.89016,1.23066,2.9051,1191,169649,1,4,3,3,715
Root ,2018,45565,8.07817,7.88722,1.45264,3.7782,1844,152748,3,4,4,4,996
Orléans ,2014,29574,8.0617,7.87555,1.16645,3.0271,995,90989,2,4,4,4,395
Everdell ,2018,47654,8.04909,7.86581,1.2932,2.8062,1409,185745,1,4,3,3,809
Great Western Trail (Second Edition) ,2021,9481,8.39531,7.86511,1.28243,3.7276,301,30597,1,4,3,3,178
Mage Knight Board Game ,2011,32329,8.0858,7.85888,1.63514,4.3528,2642,73961,1,3,1,2,1250
Viticulture Essential Edition ,2015,45263,8.00482,7.85425,1.27021,2.89,1327,154385,1,5,3,4,725
Barrage ,2019,15549,8.17992,7.84572,1.42736,4.0958,887,46331,2,4,4,4,426
The Crew: Mission Deep Sea ,2021,13539,8.20471,7.83881,1.27554,2.042,238,165764,3,5,4,4,173
Too Many Bones ,2017,11272,8.34801,7.82194,1.55157,3.849,437,51699,1,4,3,3,304
Food Chain Magnate ,2015,19017,8.08018,7.81706,1.59821,4.2078,924,47398,2,5,3,4,331
Pax Pamir: Second Edition ,2019,11948,8.2399,7.80536,1.48579,3.8412,592,41075,1,5,4,4,424
Marvel Champions: The Card Game ,2019,21417,8.13453,7.80106,1.4569,2.9172,664,407439,1,3,1,2,690
Puerto Rico ,2002,69544,7.92813,7.79137,1.39241,3.2718,6184,189457,2,5,4,4,1545
Underwater Cities ,2018,17713,8.07467,7.78794,1.19131,3.605,643,65304,1,3,2,2,530
Caverna: The Cave Farmers ,2013,33499,7.9591,7.77944,1.34393,3.7807,1619,78202,1,5,4,4,536
Blood Rage ,2015,44650,7.94353,7.77271,1.41546,2.8739,1443,93647,3,4,4,4,903
Anachrony ,2017,17215,8.08686,7.76445,1.39801,4.0215,930,41192,1,4,3,3,331
Cascadia ,2021,29030,7.97228,7.76428,1.11039,1.8399,837,166926,1,4,2,3,511
Agricola ,2007,70960,7.88662,7.76255,1.5508,3.6369,6260,269877,1,5,3,4,1940
On Mars ,2020,11418,8.21229,7.75869,1.50971,4.6708,1443,28897,1,4,3,3,356
Crokinole ,1876,16668,8.0122,7.74369,1.61254,1.2359,657,188797,2,2,2,2,240
Pandemic Legacy: Season 0 ,2020,6673,8.43809,7.73854,1.54417,3.1364,132,49751,2,4,2,2,110
Pandemic Legacy: Season 2 ,2017,16111,8.04568,7.73473,1.68669,3.2466,296,115548,2,4,4,4,215
Kanban EV ,2020,6461,8.45015,7.73179,1.29935,4.3159,383,15639,1,4,3,3,149
Mansions of Madness: Second Edition ,2016,34258,7.9651,7.73045,1.49923,2.67,697,85536,1,5,3,4,435
Sleeping Gods ,2021,9336,8.29019,7.72854,1.46013,3.2239,335,29541,1,3,2,2,281
Maracaibo ,2019,14750,8.06013,7.7262,1.28168,3.9098,743,51543,1,4,3,3,359
Lisboa ,2017,10231,8.19658,7.71984,1.46262,4.5944,959,25034,1,4,3,3,267
