Title,Link,Rank,Year,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,GameCategory_1,RankCategory_1,ScoreCategory_1,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Brass: Birmingham ,https://boardgamegeek.com/boardgame/224517/brass-birmingham,1,2018,45176,8.59882,8.41597,1.41467,3.8814,2184,121444,20,2,4,3,4.0,1086,60,120,"Hand Management
Income
Loans
Market
Network and Route Building
Tags
",Strategy ,1,8.43294,$70.45,,,,,,
Pandemic Legacy: Season 1 ,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,2,2015,53263,8.52865,8.38135,1.5974,2.8308,1448,285146,30,2,4,4,4.0,860,60,60,"Action Points
Cooperative Game
Hand Management
Legacy Game
Point to Point Movement
Scenario / Mission / Campaign Game
",Thematic,1,8.3821,$71.98,Strategy ,2,8.36925,,,
Gloomhaven ,https://boardgamegeek.com/boardgame/174430/gloomhaven,3,2017,61887,8.59213,8.3562,1.73926,3.9099,2553,510215,30,1,4,3,3.0,1537,60,120,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Card Play Conflict Resolution
Communication Limits
Cooperative Game
",Thematic,2,8.33583,$300.99,Strategy ,4,8.31822,,,
Ark Nova ,https://boardgamegeek.com/boardgame/342942/ark-nova,4,2021,42599,8.53609,8.33362,1.38106,3.7568,2237,322494,35,1,3,2,2.0,1722,90,150,"Action Queue
End Game Bonuses
Hand Management
Hexagon Grid
Income
Increase Value of Unchosen Resources
",Strategy ,3,8.34558,$62.82,,,,,,
Twilight Imperium: Fourth Edition ,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,5,2017,23551,8.60338,8.2422,1.61956,4.3125,1152,40687,2,3,6,6,6.0,567,240,480,"Action Drafting
Area-Impulse
Dice Rolling
Follow
Grid Movement
Hexagon Grid
",Thematic,3,8.26259,$131.99,Strategy ,5,8.26533,,,
Dune: Imperium ,https://boardgamegeek.com/boardgame/316554/dune-imperium,6,2020,44685,8.43504,8.22906,1.27093,3.0463,1576,161340,26,1,4,3,4.0,1293,60,120,"Card Play Conflict Resolution
Deck, Bag, and Pool Building
Delayed Purchase
Force Commitment
Increase Value of Unchosen Resources
Multi-Use Cards
",Strategy ,6,8.23147,$55.00,,,,,,
Terraforming Mars ,https://boardgamegeek.com/boardgame/167791/terraforming-mars,7,2016,98269,8.36158,8.21468,1.4191,3.2603,4065,619457,40,1,4,3,3.0,2535,120,120,"Closed Drafting
Contracts
Enclosure
End Game Bonuses
Hand Management
Hexagon Grid
",Strategy ,7,8.19229,$58.74,,,,,,
War of the Ring: Second Edition ,https://boardgamegeek.com/boardgame/115746/war-of-the-ring-second-edition,8,2011,21141,8.54012,8.18288,1.47618,4.2139,1169,35399,0,2,2,2,2.0,497,150,180,"Action Drafting
Area Majority / Influence
Area Movement
Campaign / Battle Card Driven
Card Play Conflict Resolution
Dice Rolling
",War ,1,8.28391,$71.94,Thematic,4,8.24457,,,
Star Wars: Rebellion ,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,9,2016,32236,8.41967,8.17163,1.36156,3.7427,1123,49794,17,2,2,2,2.0,654,180,240,"Area Majority / Influence
Area Movement
Area-Impulse
Card Play Conflict Resolution
Contracts
Delayed Purchase
",Thematic,5,8.20701,$89.81,,,,,,
Gloomhaven: Jaws of the Lion ,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-of-the-lion,10,2020,33884,8.4459,8.16957,1.46668,3.638,978,167629,20,1,4,2,2.0,717,30,120,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Communication Limits
Cooperative Game
Critical Hits and Failures
",Thematic,7,8.17921,$39.97,Strategy ,9,8.14648,,,
Spirit Island ,https://boardgamegeek.com/boardgame/162886/spirit-island,11,2017,50868,8.34554,8.14547,1.50811,4.0653,2802,307180,16,1,4,2,2.0,1757,90,120,"Action Retrieval
Area Majority / Influence
Automatic Resource Growth
Campaign / Battle Card Driven
Cooperative Game
Hand Management
",Strategy ,10,8.12631,$64.99,,,,,,
Gaia Project ,https://boardgamegeek.com/boardgame/220308/gaia-project,12,2017,26935,8.38067,8.11696,1.4062,4.3935,1672,105720,14,1,4,3,4.0,710,60,150,"End Game Bonuses
Hexagon Grid
Income
Modular Board
Network and Route Building
Solo / Solitaire Game
",Strategy ,8,8.15803,$95.01,,,,,,
Twilight Struggle ,https://boardgamegeek.com/boardgame/12333/twilight-struggle,13,2005,48619,8.24685,8.06943,1.57625,3.6066,3925,126146,13,2,2,2,2.0,885,120,180,"Action/Event
Advantage Token
Area Majority / Influence
Campaign / Battle Card Driven
Dice Rolling
Events
",War ,2,8.1862,$49.99,Strategy ,12,8.0555,,,
Through the Ages: A New Story of Civilization ,https://boardgamegeek.com/boardgame/182028/through-the-ages-a-new-story-of-civilization,14,2015,31476,8.29272,8.06221,1.51748,4.4368,1559,130145,3,2,4,3,3.0,713,120,120,"Action Points
Auction: Dutch
Auction/Bidding
Events
Income
Open Drafting
",Strategy ,11,8.09329,$84.99,,,,,,
Great Western Trail ,https://boardgamegeek.com/boardgame/193738/great-western-trail,15,2016,40668,8.1972,8.02971,1.30962,3.7009,1585,141915,31,2,4,3,3.0,866,75,150,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Track Movement
Variable Set-up
",Strategy ,14,8.05031,$49.99,,,,,,
The Castles of Burgundy ,https://boardgamegeek.com/boardgame/84876/the-castles-of-burgundy,16,2011,61874,8.14026,8.0153,1.24438,2.9815,2915,344983,14,2,4,2,2.0,1512,30,90,"Dice Rolling
End Game Bonuses
Grid Coverage
Hexagon Grid
Open Drafting
Pattern Building
",Strategy ,16,8.01526,$49.99,,,,,,
Scythe ,https://boardgamegeek.com/boardgame/169786/scythe,17,2016,82924,8.14651,7.99454,1.44859,3.4443,3252,295292,33,1,5,4,4.0,1492,90,115,"Area Majority / Influence
Card Play Conflict Resolution
Contracts
End Game Bonuses
Force Commitment
Grid Movement
",Strategy ,20,7.96575,$66.89,,,,,,
Eclipse: Second Dawn for the Galaxy ,https://boardgamegeek.com/boardgame/246900/eclipse-second-dawn-for-the-galaxy,18,2020,13361,8.46145,7.97623,1.36707,3.6573,464,25036,4,2,6,4,4.0,305,60,200,"Alliances
Area Majority / Influence
Area-Impulse
Dice Rolling
Grid Movement
Hexagon Grid
",Strategy ,13,8.05418,$158.88,,,,,,
7 Wonders Duel ,https://boardgamegeek.com/boardgame/173346/7-wonders-duel,19,2015,93839,8.09637,7.97208,1.19303,2.2303,2957,505843,24,2,2,2,2.0,1304,30,30,"End Game Bonuses
Income
Layering
Market
Modular Board
Multi-Use Cards
",Strategy ,22,7.93543,$21.99,,,,,,
Brass: Lancashire ,https://boardgamegeek.com/boardgame/28720/brass-lancashire,20,2007,24800,8.19313,7.96178,1.3672,3.8556,1655,74671,7,2,4,4,4.0,616,60,120,"Hand Management
Income
Loans
Market
Network and Route Building
Tech Trees / Tech Tracks
",Strategy ,17,8.01006,$67.09,,,,,,
Nemesis ,https://boardgamegeek.com/boardgame/167355/nemesis,21,2018,30152,8.27441,7.95684,1.51433,3.4629,1104,69218,11,1,5,4,5.0,716,90,180,"Campaign / Battle Card Driven
Cooperative Game
Dice Rolling
Hand Management
Hidden Roles
Interrupts
",Thematic,12,7.96186,$139.00,,,,,,
Clank! Legacy: Acquisitions Incorporated ,https://boardgamegeek.com/boardgame/266507/clank-legacy-acquisitions-incorporated,22,2019,9300,8.54106,7.94671,1.42224,2.7324,142,54260,3,2,4,4,4.0,130,90,120,"Deck, Bag, and Pool Building
Delayed Purchase
End Game Bonuses
Events
Legacy Game
Map Addition
",Thematic,8,8.13342,$84.82,,,,,,
A Feast for Odin ,https://boardgamegeek.com/boardgame/177736/feast-odin,23,2016,28208,8.17319,7.94331,1.36969,3.8667,1013,103900,9,1,4,3,3.0,581,30,120,"Automatic Resource Growth
Dice Rolling
Grid Coverage
Income
Push Your Luck
Solo / Solitaire Game
",Strategy ,19,7.97493,$93.63,,,,,,
Concordia ,https://boardgamegeek.com/boardgame/124361/concordia,24,2013,40231,8.0955,7.94322,1.19569,2.9919,1598,131522,11,2,5,4,4.0,682,100,100,"Action Retrieval
Advantage Token
Auction: Dutch
Deck, Bag, and Pool Building
End Game Bonuses
Hand Management
",Strategy ,21,7.96358,$52.97,,,,,,
Wingspan ,https://boardgamegeek.com/boardgame/266192/wingspan,25,2019,92170,8.05152,7.9032,1.35929,2.4641,3036,634083,43,1,4,3,3.0,1816,40,70,"Action Queue
Dice Rolling
End Game Bonuses
Hand Management
Once-Per-Game Abilities
Open Drafting
",Strategy ,35,7.83821,$43.99,Family ,2,7.91788,,,
Arkham Horror: The Card Game ,https://boardgamegeek.com/boardgame/205637/arkham-horror-the-card-game,26,2016,42847,8.1314,7.90173,1.54442,3.5375,1425,302253,15,1,2,2,2.0,998,60,120,"Action Points
Area Movement
Communication Limits
Cooperative Game
Deck Construction
Events
",Customizable,1,8.07455,$21.48,Thematic,13,7.92048,,,
Terra Mystica ,https://boardgamegeek.com/boardgame/120677/terra-mystica,27,2012,47833,8.06332,7.89819,1.47363,3.9723,2925,160417,29,2,5,4,4.0,1033,60,150,"Area Majority / Influence
Chaining
End Game Bonuses
Hexagon Grid
Income
Increase Value of Unchosen Resources
",Strategy ,25,7.90683,$58.97,,,,,,
Lost Ruins of Arnak ,https://boardgamegeek.com/boardgame/312484/lost-ruins-of-arnak,28,2020,43432,8.07736,7.899,1.23636,2.9142,1410,215377,39,1,4,3,3.0,854,30,120,"Contracts
Deck, Bag, and Pool Building
Market
Multi-Use Cards
Once-Per-Game Abilities
Resource to Move
",Strategy ,28,7.89454,$59.95,,,,,,
Great Western Trail: Second Edition ,https://boardgamegeek.com/boardgame/341169/great-western-trail-second-edition,29,2021,12334,8.3451,7.89766,1.28382,3.7227,375,42203,0,1,4,3,3.0,225,75,150,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Solo / Solitaire Game
Tags
",Strategy ,18,7.99005,$63.95,,,,,,
Root ,https://boardgamegeek.com/boardgame/237182/root,30,2018,50676,8.07418,7.88562,1.46279,3.8012,2093,174870,35,3,4,4,4.0,1129,60,90,"Action Queue
Action Retrieval
Area Majority / Influence
Area Movement
Dice Rolling
Hand Management
",War ,11,7.75225,$48.24,Strategy ,31,7.85701,,,
Frosthaven ,https://boardgamegeek.com/boardgame/295770/frosthaven,31,2022,6787,8.85295,7.88489,2.0074,4.3547,358,64663,1,1,4,3,3.0,203,90,180,"Campaign / Battle Card Driven
Communication Limits
Cooperative Game
Deck Construction
Deck, Bag, and Pool Building
Grid Movement
",Thematic,6,8.19792,$197.17,Strategy ,15,8.04687,,,
Orléans ,https://boardgamegeek.com/boardgame/164928/orleans,32,2014,31174,8.06232,7.87334,1.1629,3.0294,1054,97538,18,2,4,4,4.0,430,90,90,"Contracts
Deck, Bag, and Pool Building
End Game Bonuses
Events
Point to Point Movement
Simultaneous Action Selection
",Strategy ,26,7.90227,$54.14,,,,,,
Too Many Bones ,https://boardgamegeek.com/boardgame/192135/too-many-bones,33,2017,13045,8.34419,7.85693,1.54166,3.8537,492,63046,4,1,4,3,3.0,363,60,120,"Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Die Icon Resolution
Grid Movement
Hand Management
",Thematic,11,7.98201,$249.99,Strategy ,23,7.917,,,
Mage Knight Board Game ,https://boardgamegeek.com/boardgame/96848/mage-knight-board-game,34,2011,33191,8.08555,7.85427,1.63485,4.3624,2704,76156,12,1,3,1,2.0,1289,60,240,"Card Play Conflict Resolution
Cooperative Game
Deck, Bag, and Pool Building
Dice Rolling
Grid Movement
Hand Management
",Thematic,15,7.84773,$70.82,Strategy ,32,7.85191,,,
The Crew: Mission Deep Sea ,https://boardgamegeek.com/boardgame/324856/the-crew-mission-deep-sea,35,2021,17103,8.15927,7.84693,1.28565,2.0402,323,205159,7,3,5,4,4.0,241,20,20,"Communication Limits
Cooperative Game
Hand Management
Scenario / Mission / Campaign Game
Trick-taking
",Family ,1,7.92634,$14.95,,,,,,
Everdell ,https://boardgamegeek.com/boardgame/199792/everdell,36,2018,53964,8.02786,7.84911,1.29653,2.8271,1602,212090,22,1,4,3,3.0,910,40,80,"Contracts
End Game Bonuses
Hand Management
Income
Open Drafting
Ownership
",Strategy ,39,7.81213,$60.00,Family ,3,7.85828,,,
Barrage ,https://boardgamegeek.com/boardgame/251247/barrage,37,2019,17491,8.1644,7.84555,1.429,4.1158,1002,55797,25,2,4,4,4.0,464,60,120,"Action Retrieval
Contracts
End Game Bonuses
Income
Network and Route Building
Ownership
",Strategy ,24,7.90904,Unknown,,,,,,
Viticulture Essential Edition ,https://boardgamegeek.com/boardgame/183394/viticulture-essential-edition,38,2015,48362,7.98943,7.8388,1.27262,2.89,1418,168482,1,1,5,3,4.0,808,45,90,"Contracts
Hand Management
Solo / Solitaire Game
Turn Order: Auction
Victory Points as a Resource
Worker Placement
",Strategy ,37,7.83122,$65.00,,,,,,
Food Chain Magnate ,https://boardgamegeek.com/boardgame/175914/food-chain-magnate,39,2015,20283,8.06203,7.80164,1.60464,4.1967,981,50763,12,2,5,3,4.0,352,120,240,"Delayed Purchase
Income
Market
Modular Board
Open Drafting
Simultaneous Action Selection
",Strategy ,33,7.85131,$104.95,,,,,,
Marvel Champions: The Card Game ,https://boardgamegeek.com/boardgame/285774/marvel-champions-the-card-game,40,2019,23377,8.12374,7.79776,1.45833,2.9266,736,471434,12,1,3,1,2.0,764,45,90,"Card Play Conflict Resolution
Cooperative Game
Deck Construction
Hand Management
Interrupts
Scenario / Mission / Campaign Game
",Customizable,3,7.90089,$41.99,,,,,,
Pax Pamir: Second Edition ,https://boardgamegeek.com/boardgame/256960/pax-pamir-second-edition,41,2019,13824,8.19632,7.79431,1.5097,3.8531,674,52202,16,1,5,4,4.0,489,45,120,"Action Points
Area Majority / Influence
Area Movement
Auction: Dutch
Hand Management
Increase Value of Unchosen Resources
",Strategy ,30,7.86142,$73.74,,,,,,
Heat: Pedal to the Metal ,https://boardgamegeek.com/boardgame/366013/heat-pedal-to-the-metal,42,2022,21551,8.07917,7.79398,1.30663,2.1924,629,114698,22,1,6,5,6.0,553,30,60,"Catch the Leader
Deck, Bag, and Pool Building
Hand Management
Programmed Movement
Push Your Luck
Race
",Family ,4,7.83202,$68.59,,,,,,
Underwater Cities ,https://boardgamegeek.com/boardgame/247763/underwater-cities,43,2018,19409,8.06367,7.7852,1.19568,3.5942,695,72820,15,1,3,2,2.0,575,80,150,"End Game Bonuses
Hand Management
Income
Network and Route Building
Solo / Solitaire Game
Turn Order: Claim Action
",Strategy ,34,7.8429,$51.60,,,,,,
Puerto Rico ,https://boardgamegeek.com/boardgame/3076/puerto-rico,44,2002,70802,7.91944,7.77933,1.39154,3.2693,6223,194500,19,2,5,4,4.0,1567,90,150,"Action Drafting
End Game Bonuses
Follow
Hidden Victory Points
Increase Value of Unchosen Resources
Turn Order: Progressive
",Strategy ,46,7.76675,$79.99,,,,,,
Cascadia ,https://boardgamegeek.com/boardgame/295947/cascadia,45,2021,37675,7.95742,7.77323,1.11915,1.8496,1097,228483,34,1,4,2,3.0,696,30,45,"End Game Bonuses
Hexagon Grid
Open Drafting
Pattern Building
Solo / Solitaire Game
Tile Placement
",Abstract ,1,7.74116,$31.97,Family ,6,7.80719,,,
Caverna: The Cave Farmers ,https://boardgamegeek.com/boardgame/102794/caverna-the-cave-farmers,46,2013,34691,7.94712,7.76459,1.3407,3.7791,1652,82760,14,1,5,4,4.0,558,30,210,"Automatic Resource Growth
Increase Value of Unchosen Resources
Solo / Solitaire Game
Tile Placement
Turn Order: Claim Action
Worker Placement
",Strategy ,42,7.78125,$71.28,,,,,,
Crokinole ,https://boardgamegeek.com/boardgame/521/crokinole,47,1876,17835,8.0334,7.76286,1.6072,1.2313,683,207534,0,2,2,2,2.0,258,30,30,"Flicking
Team-Based Game
",Family ,5,7.81952,$170.00,,,,,,
