Title,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,GameCategory_1,RankCategory_1,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,GameCategory_2,RankCategory_2,GameCategory_3,RankCategory_3
Brass: Birmingham ,2018,40550,8.60963,8.42358,1.42141,3.8941,1908,105725,Strategy Games,1,2,4,3,4.0,939,,,,
Pandemic Legacy: Season 1 ,2015,51353,8.53451,8.38838,1.60335,2.8335,1399,274344,Strategy Games,1,2,4,4,4.0,820,Thematic Games,1,,
Gloomhaven ,2017,59464,8.6138,8.37978,1.74914,3.8964,2442,488265,Strategy Games,1,1,4,3,3.0,1467,Thematic Games,1,,
Ark Nova ,2021,34376,8.52884,8.31172,1.38446,3.7265,1839,202774,Strategy Games,1,1,3,2,2.0,1402,,,,
Twilight Imperium: Fourth Edition ,2017,21614,8.61272,8.2405,1.61667,4.3067,1027,35665,Strategy Games,1,3,6,6,6.0,497,Thematic Games,1,,
Terraforming Mars ,2016,92229,8.37147,8.22642,1.41097,3.2584,3788,564685,Strategy Games,1,1,4,3,3.0,2361,,,,
Dune: Imperium ,2020,37457,8.41906,8.19942,1.26961,3.0266,1317,125077,Strategy Games,1,1,4,3,4.0,1071,,,,
Gloomhaven: Jaws of the Lion ,2020,30454,8.48562,8.19768,1.47394,3.6328,885,149556,Strategy Games,1,1,4,2,2.0,655,Thematic Games,1,,
War of the Ring: Second Edition ,2011,19650,8.53199,8.17524,1.4836,4.2037,1090,31676,Thematic Games,1,2,2,2,2.0,462,Wargames,1,,
Star Wars: Rebellion ,2016,30588,8.41736,8.16869,1.369,3.7394,1059,46734,Thematic Games,1,2,2,2,2.0,620,,,,
Spirit Island ,2017,46116,8.35199,8.15043,1.50278,4.0634,2555,260975,Strategy Games,1,1,4,2,2.0,1577,,,,
Gaia Project ,2017,25267,8.40012,8.13465,1.4077,4.3943,1580,96167,Strategy Games,1,1,4,3,4.0,662,,,,
Through the Ages: A New Story of Civilization ,2015,30145,8.30836,8.08034,1.51897,4.4318,1482,121647,Strategy Games,1,2,4,3,3.0,681,,,,
Twilight Struggle ,2005,47236,8.25243,8.07812,1.58169,3.603,3849,122560,Strategy Games,1,2,2,2,2.0,867,Wargames,1,,
Great Western Trail ,2016,39122,8.22117,8.0572,1.30496,3.7068,1521,135207,Strategy Games,1,2,4,3,3.0,842,,,,
Scythe ,2016,78448,8.16361,8.01187,1.44409,3.4407,3068,278139,Strategy Games,1,1,5,4,4.0,1401,,,,
The Castles of Burgundy ,2011,58902,8.1307,8.00731,1.24204,2.9883,2826,309786,Strategy Games,1,2,4,2,2.0,1439,,,,
7 Wonders Duel ,2015,87424,8.09782,7.97423,1.1914,2.2271,2734,447619,Strategy Games,1,2,2,2,2.0,1184,,,,
Nemesis ,2018,27445,8.28909,7.96431,1.51743,3.4436,976,61754,Thematic Games,1,1,5,4,5.0,643,,,,
Eclipse: Second Dawn for the Galaxy ,2020,11490,8.49053,7.96421,1.3715,3.649,396,20786,Strategy Games,1,2,6,4,4.0,259,,,,
Brass: Lancashire ,2007,23877,8.18909,7.96389,1.36997,3.8586,1612,71962,Strategy Games,1,2,4,4,4.0,579,,,,
Concordia ,2013,38201,8.10024,7.95146,1.19729,2.996,1510,124104,Strategy Games,1,2,5,4,4.0,644,,,,
A Feast for Odin ,2016,26244,8.17762,7.94783,1.36523,3.8623,937,93793,Strategy Games,1,1,4,3,3.0,539,,,,
Clank! Legacy: Acquisitions Incorporated ,2019,8423,8.56096,7.94176,1.42196,2.7339,124,48987,Thematic Games,1,2,4,4,4.0,112,,,,
Wingspan ,2019,83090,8.06853,7.92105,1.35411,2.4542,2765,551602,Family Games,1,1,4,3,3.0,1628,Strategy Games,1,,
Terra Mystica ,2012,46434,8.079,7.91582,1.47273,3.9725,2876,153578,Strategy Games,1,2,5,4,4.0,1005,,,,
Arkham Horror: The Card Game ,2016,40699,8.13777,7.90878,1.53863,3.5297,1331,276871,Customizable Games,1,1,2,2,2.0,953,Thematic Games,1,,
Lost Ruins of Arnak ,2020,37615,8.07759,7.88967,1.23153,2.9039,1197,170827,Strategy Games,1,1,4,3,3.0,719,,,,
Root ,2018,45738,8.0779,7.8875,1.45324,3.7806,1855,153301,Strategy Games,1,3,4,4,4.0,997,Wargames,1,,
Orléans ,2014,29624,8.062,7.87599,1.16635,3.0281,996,91161,Strategy Games,1,2,4,4,4.0,396,,,,
Great Western Trail (Second Edition) ,2021,9576,8.39604,7.86877,1.28175,3.7261,303,31002,Strategy Games,1,1,4,3,3.0,180,,,,
Everdell ,2018,47819,8.04831,7.86498,1.29342,2.8061,1413,186452,Family Games,1,1,4,3,3.0,809,Strategy Games,1,,
Mage Knight Board Game ,2011,32344,8.08558,7.85874,1.6352,4.3537,2646,74001,Strategy Games,1,1,3,1,2.0,1250,Thematic Games,1,,
Viticulture Essential Edition ,2015,45367,8.0044,7.85392,1.27029,2.8901,1329,154865,Strategy Games,1,1,5,3,4.0,729,,,,
Barrage ,2019,15622,8.18023,7.84682,1.42559,4.0985,893,46705,Strategy Games,1,2,4,4,4.0,429,,,,
The Crew: Mission Deep Sea ,2021,13622,8.206,7.84168,1.27591,2.0372,242,166844,Family Games,1,3,5,4,4.0,175,Strategy Games,1,,
Too Many Bones ,2017,11327,8.3467,7.8223,1.55119,3.8497,439,51969,Strategy Games,1,1,4,3,3.0,305,Thematic Games,1,,
Food Chain Magnate ,2015,19052,8.08145,7.81836,1.59633,4.2076,925,47524,Strategy Games,1,2,5,3,4.0,332,,,,
Pax Pamir: Second Edition ,2019,12012,8.23733,7.80506,1.48904,3.8381,599,41337,Strategy Games,1,1,5,4,4.0,427,,,,
Marvel Champions: The Card Game ,2019,21492,8.1332,7.80004,1.45873,2.9163,669,409916,Customizable Games,1,1,3,1,2.0,692,,,,
Puerto Rico ,2002,69567,7.92791,7.79125,1.39217,3.2719,6185,189603,Strategy Games,1,2,5,4,4.0,1546,,,,
