Title,Link,RankOverall,YearPublished,UsersRated,AverageRating,Baverage,StandardDeviation,AverageWeight,NumberOfWeights,NumberOfPlays,NumAwardsHonors,PlayerCountRecomm_min,PlayerCountRecomm_max,PlayerCountBest_min,PlayerCountBest_max,PlayerCount_votes,MinPlayTime,MaxPlayTime,GameCategory_1,RankCategory_1,ScoreCategory_1,Mechanics,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Brass: Birmingham ,https://boardgamegeek.com/boardgame/224517/brass-birmingham,1,2018,41711,8.60777,8.42194,1.41903,3.8901,1983,109255,20,2,4,3,4.0,973,60,120,Strategy ,1,8.44284,"Hand Management
Income
Loans
Market
Network and Route Building
Tags
",$79.95,,,,,,
Pandemic Legacy: Season 1 ,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,2,2015,51842,8.53258,8.38636,1.60224,2.8338,1408,276776,30,2,4,4,4.0,829,60,60,Thematic,1,8.3889,"Action Points
Cooperative Game
Hand Management
Legacy Game
Point to Point Movement
Scenario / Mission / Campaign Game
",$69.97,Strategy ,2,8.37406,,,
Gloomhaven ,https://boardgamegeek.com/boardgame/174430/gloomhaven,3,2017,60117,8.60842,8.37414,1.74584,3.8987,2459,494042,30,1,4,3,3.0,1480,60,120,Thematic,2,8.35162,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Card Play Conflict Resolution
Communication Limits
Cooperative Game
",$278.95,Strategy ,4,8.33789,,,
Ark Nova ,https://boardgamegeek.com/boardgame/342942/ark-nova,4,2021,36506,8.53319,8.31861,1.37908,3.7317,1938,232650,28,1,3,2,2.0,1467,90,150,Strategy ,3,8.33792,"End Game Bonuses
Hand Management
Hexagon Grid
Income
Increase Value of Unchosen Resources
Open Drafting
",$58.99,,,,,,
Twilight Imperium: Fourth Edition ,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,5,2017,22025,8.61137,8.24129,1.61907,4.3097,1056,36855,2,3,6,6,6.0,511,240,480,Thematic,3,8.26605,"Action Drafting
Area-Impulse
Dice Rolling
Follow
Grid Movement
Hexagon Grid
",$131.99,Strategy ,5,8.26572,,,
Terraforming Mars ,https://boardgamegeek.com/boardgame/167791/terraforming-mars,6,2016,93697,8.36742,8.22255,1.41612,3.2586,3851,575473,40,1,4,3,3.0,2395,120,120,Strategy ,7,8.20195,"Closed Drafting
Contracts
Enclosure
End Game Bonuses
Hand Management
Hexagon Grid
",$63.24,,,,,,
Dune: Imperium ,https://boardgamegeek.com/boardgame/316554/dune-imperium,7,2020,39203,8.42382,8.20568,1.27083,3.035,1370,132657,26,1,4,3,4.0,1120,60,120,Strategy ,6,8.21123,"Card Play Conflict Resolution
Deck, Bag, and Pool Building
Delayed Purchase
Force Commitment
Increase Value of Unchosen Resources
Multi-Use Cards
",$51.43,,,,,,
Gloomhaven: Jaws of the Lion ,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-lion,8,2020,31360,8.47373,8.19071,1.47601,3.6343,905,153831,20,1,4,2,2.0,667,30,120,Thematic,6,8.20189,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Communication Limits
Cooperative Game
Critical Hits and Failures
",$36.25,Strategy ,9,8.16995,,,
War of the Ring: Second Edition ,https://boardgamegeek.com/boardgame/115746/war-ring-second-edition,9,2011,20026,8.53431,8.17901,1.47897,4.211,1114,32497,0,2,2,2,2.0,473,150,180,War ,1,8.27872,"Action Drafting
Area Majority / Influence
Area Movement
Campaign / Battle Card Driven
Card Play Conflict Resolution
Dice Rolling
",$78.79,Thematic,4,8.23965,,,
Star Wars: Rebellion ,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,10,2016,30980,8.41948,8.16979,1.36619,3.7439,1070,47389,17,2,2,2,2.0,625,180,240,Thematic,5,8.20421,"Area Majority / Influence
Area Movement
Area-Impulse
Card Play Conflict Resolution
Contracts
Delayed Purchase
",Unknown,,,,,,
Spirit Island ,https://boardgamegeek.com/boardgame/162886/spirit-island,11,2017,47261,8.3509,8.14962,1.50289,4.0619,2618,271108,16,1,4,2,2.0,1612,90,120,Strategy ,10,8.13388,"Action Retrieval
Area Majority / Influence
Automatic Resource Growth
Campaign / Battle Card Driven
Cooperative Game
Hand Management
",$43.99,,,,,,
