Title,Link,Rank,Year,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,Category_1,RankCat_1,ScoreCat_1,Category_2,RankCat_2,ScoreCat_2,AmazonPrice
Brass: Birmingham ,https://boardgamegeek.com/boardgame/224517/brass-birmingham,1,2018,42988,8.60394,8.41914,1.41948,3.8883,2032,113087,20,2,4,3,4,1000,60,120,"Hand Management
Income
Loans
Market
Network and Route Building
Tags
",Strategy ,1,8.43896,,,,$74.27 
Pandemic Legacy: Season 1 ,https://boardgamegeek.com/boardgame/161936/pandemic-legacy-season-1,2,2015,52385,8.53167,8.3858,1.59866,2.8335,1423,279735,30,2,4,4,4,838,60,60,"Action Points
Cooperative Game
Hand Management
Legacy Game
Point to Point Movement
Scenario / Mission / Campaign Game
",Thematic,1,8.38762,Strategy ,2,8.37346,$71.99 
Gloomhaven ,https://boardgamegeek.com/boardgame/174430/gloomhaven,3,2017,60833,8.60343,8.36946,1.74116,3.9029,2493,499410,30,1,4,3,3,1497,60,120,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Card Play Conflict Resolution
Communication Limits
Cooperative Game
",Thematic,2,8.34787,Strategy ,4,8.33391,Unknown
Ark Nova ,https://boardgamegeek.com/boardgame/342942/ark-nova,4,2021,38917,8.53623,8.32613,1.3757,3.7418,2053,264417,28,1,3,2,2,1556,90,150,"End Game Bonuses
Hand Management
Hexagon Grid
Income
Increase Value of Unchosen Resources
Open Drafting
",Strategy ,3,8.34303,,,,$58.99 
Twilight Imperium: Fourth Edition ,https://boardgamegeek.com/boardgame/233078/twilight-imperium-fourth-edition,5,2017,22590,8.60697,8.24111,1.62088,4.3152,1082,38244,2,3,6,6,6,524,240,480,"Action Drafting
Area-Impulse
Dice Rolling
Follow
Grid Movement
Hexagon Grid
",Thematic,3,8.26269,Strategy ,5,8.26505,$126.71 
Terraforming Mars ,https://boardgamegeek.com/boardgame/167791/terraforming-mars,6,2016,95494,8.36626,8.21959,1.41682,3.2587,3931,588016,40,1,4,3,3,2433,120,120,"Closed Drafting
Contracts
Enclosure
End Game Bonuses
Hand Management
Hexagon Grid
",Strategy ,7,8.19821,,,,$63.90 
Dune: Imperium ,https://boardgamegeek.com/boardgame/316554/dune-imperium,7,2020,41190,8.42646,8.21454,1.27393,3.0371,1428,141382,26,1,4,3,4,1176,60,120,"Card Play Conflict Resolution
Deck, Bag, and Pool Building
Delayed Purchase
Force Commitment
Increase Value of Unchosen Resources
Multi-Use Cards
",Strategy ,6,8.21857,,,,$55.00 
Gloomhaven: Jaws of the Lion ,https://boardgamegeek.com/boardgame/291457/gloomhaven-jaws-lion,8,2020,32314,8.46255,8.18206,1.47312,3.6399,933,158361,20,1,4,2,2,684,30,120,"Action Queue
Action Retrieval
Campaign / Battle Card Driven
Communication Limits
Cooperative Game
Critical Hits and Failures
",Thematic,6,8.19556,Strategy ,9,8.16122,$34.97 
War of the Ring: Second Edition ,https://boardgamegeek.com/boardgame/115746/war-ring-second-edition,9,2011,20423,8.53523,8.18133,1.4796,4.2118,1133,33477,0,2,2,2,2,483,150,180,"Action Drafting
Area Majority / Influence
Area Movement
Campaign / Battle Card Driven
Card Play Conflict Resolution
Dice Rolling
",War ,1,8.28282,Thematic,4,8.24016,$104.90 
Star Wars: Rebellion ,https://boardgamegeek.com/boardgame/187645/star-wars-rebellion,10,2016,31452,8.41906,8.17151,1.36547,3.7419,1085,48273,17,2,2,2,2,637,180,240,"Area Majority / Influence
Area Movement
Area-Impulse
Card Play Conflict Resolution
Contracts
Delayed Purchase
",Thematic,5,8.20549,,,,$87.99 
Spirit Island ,https://boardgamegeek.com/boardgame/162886/spirit-island,11,2017,48605,8.34889,8.14887,1.50396,4.0626,2683,282009,16,1,4,2,2,1663,90,120,"Action Retrieval
Area Majority / Influence
Automatic Resource Growth
Campaign / Battle Card Driven
Cooperative Game
Hand Management
",Strategy ,10,8.13191,,,,$77.47 
Gaia Project ,https://boardgamegeek.com/boardgame/220308/gaia-project,12,2017,26147,8.38955,8.12507,1.40565,4.3963,1620,101329,14,1,4,3,4,679,60,150,"End Game Bonuses
Hexagon Grid
Income
Modular Board
Network and Route Building
Solo / Solitaire Game
",Strategy ,8,8.1677,,,,$78.99 
Twilight Struggle ,https://boardgamegeek.com/boardgame/12333/twilight-struggle,13,2005,47931,8.24948,8.07404,1.57866,3.6065,3891,124345,13,2,2,2,2,878,120,180,"Action/Event
Advantage Token
Area Majority / Influence
Campaign / Battle Card Driven
Dice Rolling
Events
",War ,2,8.19248,Strategy ,13,8.05881,$56.18 
Through the Ages: A New Story of Civilization ,https://boardgamegeek.com/boardgame/182028/through-ages-new-story-civilization,14,2015,30891,8.29912,8.07044,1.5162,4.4351,1526,125404,3,2,4,3,3,696,120,120,"Action Points
Auction: Dutch
Auction/Bidding
Events
Income
Open Drafting
",Strategy ,11,8.1006,,,,$69.95 
Great Western Trail ,https://boardgamegeek.com/boardgame/193738/great-western-trail,15,2016,39948,8.20802,8.04263,1.30758,3.7023,1555,138714,31,2,4,3,3,849,75,150,"Deck, Bag, and Pool Building
Hand Management
Ownership
Set Collection
Track Movement
Variable Set-up
",Strategy ,12,8.0625,,,,$49.99 
The Castles of Burgundy ,https://boardgamegeek.com/boardgame/84876/castles-burgundy,16,2011,60411,8.13557,8.01112,1.24228,2.9844,2879,327234,14,2,4,2,2,1469,30,90,"Dice Rolling
End Game Bonuses
Grid Coverage
Hexagon Grid
Open Drafting
Pattern Building
",Strategy ,15,8.01088,,,,$49.99 
Scythe ,https://boardgamegeek.com/boardgame/169786/scythe,17,2016,80856,8.15464,8.00228,1.44592,3.4436,3163,286826,33,1,5,4,4,1441,90,115,"Area Majority / Influence
Card Play Conflict Resolution
Contracts
End Game Bonuses
Force Commitment
Grid Movement
",Strategy ,20,7.9737,,,,$80.99 
7 Wonders Duel ,https://boardgamegeek.com/boardgame/173346/7-wonders-duel,18,2015,90860,8.09585,7.97194,1.19203,2.2282,2844,477576,24,2,2,2,2,1239,30,30,"End Game Bonuses
Income
Layering
Market
Modular Board
Multi-Use Cards
",Strategy ,22,7.93658,,,,$21.99 
Eclipse: Second Dawn for the Galaxy ,https://boardgamegeek.com/boardgame/246900/eclipse-second-dawn-galaxy,19,2020,12463,8.47243,7.96881,1.36815,3.6659,425,22768,4,2,6,4,4,275,60,200,"Alliances
Area Majority / Influence
Area-Impulse
Dice Rolling
Grid Movement
Hexagon Grid
",Strategy ,14,8.04865,,,,$185.49 
Brass: Lancashire ,https://boardgamegeek.com/boardgame/28720/brass-lancashire,20,2007,24373,8.19042,7.96199,1.36962,3.8585,1625,73209,7,2,4,4,4,593,60,120,"Hand Management
Income
Loans
Market
Network and Route Building
Tech Trees / Tech Tracks
",Strategy ,16,8.01038,,,,$67.00 
Nemesis ,https://boardgamegeek.com/boardgame/167355/nemesis,21,2018,28871,8.27934,7.95847,1.51481,3.459,1037,65770,11,1,5,4,5,679,90,180,"Campaign / Battle Card Driven
Cooperative Game
Dice Rolling
Hand Management
Hidden Roles
Interrupts
",Thematic,12,7.96499,,,,$177.77 
Concordia ,https://boardgamegeek.com/boardgame/124361/concordia,22,2013,39297,8.0974,7.94742,1.19716,2.9929,1555,128011,11,2,5,4,4,657,100,100,"Action Retrieval
Advantage Token
Auction: Dutch
End Game Bonuses
Hand Management
Hidden Victory Points
",Strategy ,21,7.96624,,,,$45.46 
Clank! Legacy: Acquisitions Incorporated ,https://boardgamegeek.com/boardgame/266507/clank-legacy-acquisitions-incorporated,23,2019,8920,8.55251,7.94726,1.42188,2.7154,130,51689,3,2,4,4,4,119,90,120,"Deck, Bag, and Pool Building
Delayed Purchase
End Game Bonuses
Events
Legacy Game
Map Addition
",Thematic,8,8.14102,,,,$110.00 
A Feast for Odin ,https://boardgamegeek.com/boardgame/177736/feast-odin,24,2016,27296,8.17481,7.94529,1.36728,3.8661,971,98956,9,1,4,3,3,559,30,120,"Automatic Resource Growth
Dice Rolling
Grid Coverage
Income
Push Your Luck
Solo / Solitaire Game
",Strategy ,19,7.97763,,,,$91.20 
Wingspan ,https://boardgamegeek.com/boardgame/266192/wingspan,25,2019,88065,8.06155,7.91297,1.35685,2.4595,2892,593203,42,1,4,3,3,1714,40,70,"Contracts
Dice Rolling
End Game Bonuses
Hand Management
Once-Per-Game Abilities
Open Drafting
",Strategy ,34,7.8512,Family ,2,7.92786,$47.99 
Terra Mystica ,https://boardgamegeek.com/boardgame/120677/terra-mystica,26,2012,47182,8.07165,7.90745,1.47181,3.9728,2902,157101,29,2,5,4,4,1019,60,150,"Area Majority / Influence
Chaining
End Game Bonuses
Hexagon Grid
Income
Increase Value of Unchosen Resources
",Strategy ,23,7.91552,,,,$59.97 
Arkham Horror: The Card Game ,https://boardgamegeek.com/boardgame/205637/arkham-horror-card-game,27,2016,41856,8.13241,7.90432,1.54279,3.5336,1383,288313,15,1,2,2,2,973,60,120,"Action Points
Area Movement
Communication Limits
Cooperative Game
Deck Construction
Events
",Customizable,1,8.07449,Thematic,13,7.92221,$23.47 
