Title,Link,Rank,Year,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,GameCategory_1,RankCategory_1,ScoreCategory_1,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
Codenames ,https://boardgamegeek.com/boardgame/178900/codenames,140,2015,92578,7.54091,7.44745,1.30258,1.261,2326,585994,45,4.0,8.0,6.0,6.0,1288,15,15,"Communication Limits
Memory
Push Your Luck
Team-Based Game
",Party,5.0,7.46486,19.94,,,,,,
Sushi Go Party! ,https://boardgamegeek.com/boardgame/192291/sushi-go-party,260,2016,35302,7.3919,7.23838,1.15463,1.3051,649,143455,8,2.0,8.0,4.0,5.0,325,20,20,"Closed Drafting
End Game Bonuses
Hand Management
Set Collection
Simultaneous Action Selection
Variable Set-up
",Family,61.0,7.25659,21.99,,,,,,
Camel Up (Second Edition) ,https://boardgamegeek.com/boardgame/260605/camel-up-second-edition,261,2018,13077,7.57282,7.23798,1.17643,1.4926,272,46023,3,3.0,8.0,5.0,6.0,176,30,45,"Betting and Bluffing
Dice Rolling
Roll / Spin and Move
Track Movement
",Party,9.0,7.35662,31.98,Family,50.0,7.30692,,,
Monikers ,https://boardgamegeek.com/boardgame/156546/monikers,291,2015,6305,7.78428,7.19004,1.4477,1.0769,78,21236,1,4.0,12.0,6.0,6.0,45,30,60,"Acting
Communication Limits
Open Drafting
Role Playing
Singing
Team-Based Game
",Party,4.0,7.47468,31.02,,,,,,
Dixit: Odyssey ,https://boardgamegeek.com/boardgame/92828/dixit-odyssey,309,2011,21215,7.39711,7.17271,1.34644,1.1659,633,43341,7,4.0,12.0,6.0,6.0,223,30,30,"Storytelling
Targeted Clues
Voting
",Party,16.0,7.24291,,,,,,,
For Sale ,https://boardgamegeek.com/boardgame/172/for-sale,335,1997,31194,7.25737,7.13281,1.1612,1.2513,1735,201358,2,3.0,6.0,5.0,5.0,449,30,30,"Auction: Sealed Bid
Auction: Turn Order Until Pass
Auction/Bidding
Hand Management
Selection Order Bid
",Family,78.0,7.16452,25.96,,,,,,
Dixit ,https://boardgamegeek.com/boardgame/39856/dixit,385,2008,64988,7.19901,7.08836,1.3856,1.1967,2364,176329,29,4.0,8.0,5.0,6.0,831,30,30,"Race
Storytelling
Targeted Clues
Voting
",Party,25.0,7.08184,41.99,,,,,,
King of Tokyo ,https://boardgamegeek.com/boardgame/70323/king-of-tokyo,430,2011,70984,7.13181,7.03063,1.32638,1.4858,2826,370736,24,3.0,6.0,4.0,5.0,1037,30,30,"Dice Rolling
Die Icon Resolution
King of the Hill
Open Drafting
Player Elimination
Push Your Luck
",Family,122.0,7.01977,34.98,,,,,,
Skull ,https://boardgamegeek.com/boardgame/92415/skull,441,2011,23981,7.19128,7.02006,1.40128,1.1198,601,123038,7,3.0,6.0,5.0,6.0,281,15,45,"Auction/Bidding
Bids As Wagers
Hand Management
Player Elimination
",Party,31.0,7.04425,19.99,,,,,,
Codenames: Pictures ,https://boardgamegeek.com/boardgame/198773/codenames-pictures,450,2016,22845,7.1876,7.01282,1.28074,1.2378,328,100696,6,4.0,8.0,6.0,6.0,199,15,15,"Communication Limits
Memory
Push Your Luck
Team-Based Game
",Party,29.0,7.06315,24.95,,,,,,
Wavelength ,https://boardgamegeek.com/boardgame/262543/wavelength,462,2019,13666,7.27077,7.00405,1.29398,1.1086,221,44743,13,4.0,12.0,6.0,6.0,142,30,45,"Race
Targeted Clues
Team-Based Game
",Party,22.0,7.13017,47.0,,,,,,
PitchCar ,https://boardgamegeek.com/boardgame/150/pitchcar,492,1995,11052,7.26526,6.9758,1.34757,1.1252,671,0,5,2.0,8.0,5.0,6.0,124,30,30,"Flicking
Modular Board
Race
",Party,24.0,7.10927,,Family,115.0,7.05085,,,
No Thanks! ,https://boardgamegeek.com/boardgame/12942/no-thanks,515,2004,27402,7.0799,6.95628,1.19734,1.1307,1446,239410,6,3.0,7.0,4.0,5.0,354,20,20,"Auction/Bidding
Closed Economy Auction
Push Your Luck
Set Collection
",Family,136.0,6.98674,9.99,,,,,,
Junk Art ,https://boardgamegeek.com/boardgame/193042/junk-art,539,2016,7655,7.36671,6.93592,1.24113,1.2079,101,27228,4,2.0,6.0,4.0,6.0,64,30,30,"Bingo
Hand Management
I Cut, You Choose
Score-and-Reset Game
Stacking and Balancing
",Party,21.0,7.14471,,Family,116.0,7.03821,,,
High Society ,https://boardgamegeek.com/boardgame/220/high-society,542,1995,13881,7.16632,6.9342,1.23847,1.4813,667,65031,1,3.0,5.0,4.0,5.0,211,15,30,"Auction: Turn Order Until Pass
Auction/Bidding
Constrained Bidding
Hand Management
Highest-Lowest Scoring
",Family,134.0,6.99027,16.17,,,,,,
Love Letter: Premium Edition ,https://boardgamegeek.com/boardgame/196326/love-letter-premium-edition,575,2016,5992,7.43875,6.89957,1.38655,1.3148,108,22639,0,3.0,8.0,4.0,6.0,100,20,30,"Hand Management
Player Elimination
",Party,23.0,7.11741,,Family,129.0,6.9996,,,
Time's Up! Title Recall! ,https://boardgamegeek.com/boardgame/36553/times-up-title-recall,606,2008,3613,7.6768,6.88085,1.52771,1.1848,92,15201,2,4.0,4.0,6.0,6.0,37,60,60,"Acting
Communication Limits
Memory
Team-Based Game
",Party,11.0,7.33538,,,,,,,
Take 5 ,https://boardgamegeek.com/boardgame/432/take-5,651,1994,29338,6.96971,6.84189,1.27051,1.1923,1695,258464,7,3.0,10.0,5.0,6.0,580,45,45,"Hand Management
Score-and-Reset Game
Simultaneous Action Selection
",Family,194.0,6.86177,14.99,,,,,,
Coup ,https://boardgamegeek.com/boardgame/131357/coup,652,2012,47010,6.9826,6.84158,1.42596,1.4096,1438,263923,2,3.0,6.0,5.0,5.0,580,15,15,"Hidden Roles
Memory
Player Elimination
Take That
Variable Player Powers
",Party,60.0,6.77087,14.49,,,,,,
Time's Up! ,https://boardgamegeek.com/boardgame/1353/times-up,697,1999,5912,7.27972,6.80295,1.62113,1.2024,336,18756,9,4.0,4.0,6.0,6.0,70,90,90,"Acting
Communication Limits
Memory
Team-Based Game
",Party,30.0,7.06118,19.99,,,,,,
Dixit: Journey ,https://boardgamegeek.com/boardgame/121288/dixit-journey,755,2012,4599,7.395,6.76488,1.32677,1.2595,131,8635,3,4.0,6.0,5.0,6.0,29,30,30,"Acting
Simultaneous Action Selection
Storytelling
Targeted Clues
Voting
",Party,27.0,7.07292,27.96,,,,,,
