Title,ObjectID,Link,Rank,Year,Designers,UsersRated,AveRating,Baverage,StdDev,AveWeight,NumWeights,NumPlays,NumAwards,NumGeekLists,NumTrading,NumWanting,NumWish,NumOwned,NumComments,NumWantToPlay,NumFans,Views,PCountRecomm_min,PCountRecomm_max,PCountBest_min,PCountBest_max,PCount_votes,MinPlayTime,MaxPlayTime,Mechanics,Expansions,Categories,GameCategory_1,RankCategory_1,ScoreCategory_1,AmazonPrice,GameCategory_2,RankCategory_2,ScoreCategory_2,GameCategory_3,RankCategory_3,ScoreCategory_3
SCOUT ,291453,https://boardgamegeek.com/boardgame/291453/scout,100,2019,['Kei Kajino (梶野 桂)'],21523,7.81834,7.57585,1.16936,1.359,415,150773,10,1792,194,431,4903,41810,2719,2718,1279,1088757,3.0,5.0,4.0,4.0,568,20,20,"['Hand Management', 'Ladder Climbing', 'Score-and-Reset Game']",[],['Card Game'],Family,14.0,7.63219,23.0,,,,,,
Codenames ,178900,https://boardgamegeek.com/boardgame/178900/codenames,153,2015,['Vlaada Chvátil'],97460,7.53454,7.43939,1.30324,1.2582,2448,619625,45,9161,1400,351,7387,165991,12731,3154,3124,2991259,4.0,8.0,6.0,6.0,1349,15,15,"['Communication Limits', 'Deduction', 'Memory', 'Push Your Luck', 'Race', 'Team-Based Game']","['Brettspiel Adventskalender 2018', 'Codenames: 10 jarig Jubileum bonus set 2020 NL', 'Codenames: Authors & Games', 'Codenames: Bonus Pack – Board Gaming (English)', 'Codenames: Bonus Pack – Board Gaming (German)', 'Codenames: Bonus Pack – CGE Games']","['Card Game', 'Deduction', 'Party Game', 'Spies / Secret Agents', 'Word Game']",Party,5.0,7.45184,19.94,,,,,,
Sushi Go Party! ,192291,https://boardgamegeek.com/boardgame/192291/sushi-go-party,268,2016,['Phil Walker-Harding'],37430,7.38327,7.22907,1.15574,1.3106,689,155858,9,2659,499,470,6169,69163,5028,2467,1391,1325798,2.0,8.0,4.0,5.0,355,20,20,"['Closed Drafting', 'End Game Bonuses', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection', 'Variable Set-up']","['Sushi Go Party!: Inari Promo', 'Sushi Go Party!: Pickled Ginger Promo', 'Sushi Go Party!: Sake Promo', 'Sushi Go Party!: Sukeroku Promo']","['Card Game', 'Party Game']",Family,65.0,7.24587,21.06,,,,,,
Monikers ,156546,https://boardgamegeek.com/boardgame/156546/monikers,291,2015,"['Alex Hague', 'Justin Vickers']",6908,7.77626,7.19533,1.45038,1.0889,90,23612,1,765,154,222,2620,14037,1262,1339,380,702425,4.0,12.0,6.0,6.0,50,30,60,"['Acting', 'Communication Limits', 'Open Drafting', 'Role Playing', 'Singing', 'Team-Based Game']",['Monikers: Twelve Hopelessly Stupid Fourth Rounds'],"['Card Game', 'Humor', 'Mature / Adult', 'Party Game', 'Print & Play']",Party,4.0,7.4711,24.99,,,,,,
Dixit: Odyssey ,92828,https://boardgamegeek.com/boardgame/92828/dixit-odyssey,329,2011,['Jean-Louis Roubira'],21965,7.39179,7.16033,1.34281,1.1662,656,45740,7,1131,214,388,2686,32907,2652,1015,681,819851,4.0,12.0,6.0,6.0,231,30,30,"['Storytelling', 'Targeted Clues', 'Voting']","['Dixit 2: ""Gift"" Promo Card', 'Dixit 2: ""The American"" Promo Card', 'Dixit 3: Journey', 'Dixit 8: ""Cocktail"" Promo Card', 'Dixit AsmoPlay Ingenuity Promos', 'Dixit: ""Magic Bunny"" Promo Card']","['Card Game', 'Humor', 'Party Game']",Party,18.0,7.23419,,,,,,,
Love Letter ,277085,https://boardgamegeek.com/boardgame/277085/love-letter,333,2019,"['Seiji Kanai', 'Justin Kemppainen', 'Alexandar Ortloff-Tang']",12542,7.51572,7.15032,1.30413,1.1158,259,52337,0,458,139,72,1508,25200,1367,712,615,431980,3.0,6.0,4.0,4.0,216,20,20,"['Deduction', 'Hand Management', 'Player Elimination', 'Score-and-Reset Game', 'Take That']",[],"['Card Game', 'Deduction', 'Renaissance']",Party,16.0,7.24578,14.99,Family,72.0,7.20845,,,
For Sale ,172,https://boardgamegeek.com/boardgame/172/for-sale,343,1997,['Stefan Dorra'],32562,7.26138,7.13639,1.1607,1.2523,1768,214879,2,6213,419,891,5761,41205,7143,2608,745,1437731,3.0,6.0,5.0,5.0,473,30,30,"['Auction / Bidding', 'Auction', 'Auction', 'Hand Management', 'Selection Order Bid']","['For Sale: Advisors', 'For Sale: Hebrew Promo Cards']","['Card Game', 'Economic']",Family,81.0,7.16841,29.99,,,,,,
Love Letter ,129622,https://boardgamegeek.com/boardgame/129622/love-letter,353,2012,['Seiji Kanai'],69688,7.22527,7.12368,1.35113,1.1836,2908,390167,27,8702,1279,296,4585,114274,11686,2629,2658,2571971,3.0,4.0,4.0,4.0,1149,20,20,"['Deduction', 'Hand Management', 'Player Elimination', 'Score-and-Reset Game', 'Take That']","['Big Love Letter', 'Love Letter: Erweiterung']","['Card Game', 'Deduction', 'Renaissance']",Family,98.0,7.11661,,,,,,,
Dixit ,39856,https://boardgamegeek.com/boardgame/39856/dixit,402,2008,['Jean-Louis Roubira'],67704,7.1914,7.07756,1.38869,1.1939,2444,184660,29,7500,1124,450,6960,101114,10264,3113,2644,2542832,4.0,8.0,5.0,6.0,883,30,30,"['Race', 'Singing', 'Storytelling', 'Targeted Clues', 'Voting']","['Brettspiel Adventskalender 2018', 'Dixit 2: ""Dice Tower"" Promo Card', 'Dixit 2: ""Gift"" Promo Card', 'Dixit 2: ""The American"" Promo Card', 'Dixit 3: Journey', 'Dixit 8: ""Cocktail"" Promo Card']","['Card Game', 'Humor', 'Party Game']",Party,27.0,7.07263,44.85,,,,,,
King of Tokyo ,70323,https://boardgamegeek.com/boardgame/70323/king-of-tokyo,451,2011,['Richard Garfield'],73167,7.12456,7.02186,1.32829,1.4853,2889,391510,25,10140,1551,644,8179,107222,11723,3403,3713,2854540,3.0,6.0,4.0,5.0,1073,30,30,"['Dice Rolling', 'Die Icon Resolution', 'King of the Hill', 'Open Drafting', 'Player Elimination', 'Push Your Luck', 'Re-rolling and Locking', 'Tags', 'Take That']","['King of New York: Power Up!', 'King of Tokyo: Alligators in the Sewers Promo Card', 'King of Tokyo: Baby Gigazaur', 'King of Tokyo: Champion of the Gods Promo Card', 'King of Tokyo: Dark Edition – Promo Cards for 2nd Edition', 'King of Tokyo: Even More Wicked!']","['Dice', 'Fighting', 'Movies / TV / Radio theme', 'Science Fiction']",Family,133.0,7.01223,39.99,,,,,,
Skull ,92415,https://boardgamegeek.com/boardgame/92415/skull,455,2011,['Hervé Marly'],25989,7.18358,7.01669,1.39797,1.1127,639,134479,7,2483,309,432,4797,41967,4016,2279,896,1151576,3.0,6.0,5.0,6.0,306,15,45,"['Auction / Bidding', 'Bids As Wagers', 'Hand Management', 'Player Elimination', 'Predictive Bid']","['Gringo: Polar Bear', 'Skull: Aztec']","['Bluffing', 'Card Game', 'Party Game']",Party,32.0,7.03823,28.95,,,,,,
Codenames: Pictures ,198773,https://boardgamegeek.com/boardgame/198773/codenames-pictures,468,2016,['Vlaada Chvátil'],23876,7.18204,7.00477,1.27983,1.2393,351,106519,6,2412,539,173,2064,42466,3433,1058,477,640272,4.0,8.0,6.0,6.0,205,15,15,"['Communication Limits', 'Memory', 'Push Your Luck', 'Team-Based Game']","['Codenames: Pictures – 5x5 Promo Tiles', 'Codenames: Pictures – Broken Token Promo Card', 'Tajniacy: Agenci na kwarantannie', 'Tajniacy: Nowi Agenci', 'Tajniacy: Obcy Agenci', 'Tajniacy: Sami Nieswoi']","['Card Game', 'Deduction', 'Party Game', 'Spies / Secret Agents']",Party,30.0,7.05389,24.8,,,,,,
Wavelength ,262543,https://boardgamegeek.com/boardgame/262543/wavelength,483,2019,"['Alex Hague', 'Justin Vickers', 'Wolfgang Warsch']",15601,7.23815,6.98961,1.29317,1.1084,249,50941,14,1329,344,338,4381,27332,2151,2308,620,753589,4.0,12.0,6.0,6.0,155,30,45,"['Race', 'Targeted Clues', 'Team-Based Game']",['Wavelength: Dice Tower 2021 Promo Pack'],['Party Game'],Party,24.0,7.10681,31.49,,,,,,
PitchCar ,150,https://boardgamegeek.com/boardgame/150/pitchcar,506,1995,['Jean du Poël'],11317,7.26791,6.97149,1.34884,1.1239,678,57236,6,3256,175,998,3953,12349,2859,1576,347,874469,2.0,8.0,6.0,6.0,127,30,30,"['Flicking', 'Modular Board', 'Race']","['PitchCar: Extension 1', 'PitchCar: Extension 2 – More Speed More Fun', 'PitchCar: Extension 3 – Long Straights', 'PitchCar: Extension 4 – Stunt Race', 'PitchCar: Extension 5 – The Cross', 'PitchCar: Extension 6 – No Limit']","['Action / Dexterity', ""Children's Game"", 'Party Game', 'Racing', 'Sports']",Party,22.0,7.11075,,Family,123.0,7.04783,,,
High Society ,220,https://boardgamegeek.com/boardgame/220/high-society,527,1995,['Reiner Knizia'],15000,7.18522,6.95535,1.23509,1.485,699,71229,2,2867,370,431,3521,22258,3461,2091,551,824238,3.0,5.0,4.0,5.0,233,15,30,"['Auction / Bidding', 'Auction', 'Constrained Bidding', 'Hand Management', 'Highest-Lowest Scoring']",[],['Card Game'],Family,135.0,7.01159,19.12,,,,,,
No Thanks! ,12942,https://boardgamegeek.com/boardgame/12942/no-thanks,528,2004,['Thorsten Gimmler'],28770,7.07983,6.95389,1.20316,1.1308,1491,256851,7,5273,399,377,3536,42863,6209,1762,640,1054744,3.0,7.0,4.0,5.0,376,20,20,"['Auction / Bidding', 'Closed Economy Auction', 'Push Your Luck', 'Set Collection']","['Brettspiel Adventskalender 2017', 'Schöne Sch#!?e: Stroke of Luck']",['Card Game'],Family,143.0,6.98534,12.99,,,,,,
Junk Art ,193042,https://boardgamegeek.com/boardgame/193042/junk-art,561,2016,"['Jay Cormier', 'Sen-Foong Lim']",7922,7.36433,6.92824,1.24408,1.2095,105,28483,4,1248,203,514,3473,11856,1361,1747,308,563922,2.0,6.0,4.0,6.0,65,30,30,"['Bingo', 'Hand Management', 'I Cut, You Choose', 'Score-and-Reset Game', 'Stacking and Balancing']",[],"['Action / Dexterity', 'Party Game']",Party,21.0,7.14219,94.95,Family,125.0,7.02959,,,
Las Vegas ,117959,https://boardgamegeek.com/boardgame/117959/las-vegas,603,2012,['Rüdiger Dorn'],11842,7.17129,6.89178,1.22884,1.1746,464,88527,10,2139,166,346,1479,14672,2266,849,324,633917,3.0,5.0,4.0,4.0,197,30,30,"['Area Majority / Influence', 'Dice Rolling']","['Brettspiel Adventskalender 2015', 'Las Vegas Boulevard', 'Las Vegas: The Slot Machine']",['Dice'],Family,155.0,6.96488,,,,,,,
Love Letter: Premium Edition ,196326,https://boardgamegeek.com/boardgame/196326/love-letter-premium-edition,615,2016,"['Seiji Kanai', 'John Zinser']",6203,7.43149,6.88588,1.38266,1.3077,117,24444,0,538,87,153,1153,11020,1026,410,244,419987,3.0,8.0,4.0,6.0,104,20,30,"['Hand Management', 'Player Elimination']",[],"['Card Game', 'Deduction']",Party,23.0,7.11035,,Family,142.0,6.98759,,,
Sushi Go! ,133473,https://boardgamegeek.com/boardgame/133473/sushi-go,621,2013,['Phil Walker-Harding'],49407,6.99291,6.88187,1.15435,1.1648,1365,259231,10,5311,1207,184,2996,90837,7094,1661,1438,1543644,3.0,5.0,4.0,4.0,505,15,15,"['Closed Drafting', 'End Game Bonuses', 'Hand Management', 'Set Collection', 'Simultaneous Action Selection']","['Stadt Land Spielt Limitierte Sonderdrucke 2015', 'Sushi Go Party!: Pickled Ginger Promo', 'Sushi Go Party!: Sake Promo', 'Sushi Go Party!: Sukeroku Promo', 'Sushi Go!: Soy Sauce Promo']",['Card Game'],Family,192.0,6.88919,11.99,,,,,,
Trio ,352515,https://boardgamegeek.com/boardgame/352515/trio,605,2021,['宮野 華也 (Kaya Miyano)'],7104,7.38938,6.89088,1.33614,1.0473,148,135575,9,597,58,174,1650,14865,1205,960,422,360902,3.0,6.0,4.0,4.0,129,15,15,"['Matching', 'Memory', 'Questions and Answers', 'Set Collection']",[],"['Animals', 'Card Game']",Family,140.0,6.99369,14.99,,,,,,
